strategic_intelligence.n.01	preventive_medicine.n.01
pause.n.02	field_game.n.01
elapidae.n.01	atomizer.n.01
numismatics.n.01	field_trip.n.01
americana.n.01	auto_accessory.n.01
lateral_line.n.01	poaching.n.01
abrading_stone.n.01	malopterurus.n.01
dermoptera.n.01	cranberry_culture.n.01
screech_owl.n.02	indigo_bunting.n.01
simulium.n.01	procellariiform_seabird.n.01
ascaridia.n.01	mock.n.01
atlantic_bottlenose_dolphin.n.01	integration.n.03
proctorship.n.01	dramatic_production.n.01
brush_turkey.n.01	gambusia.n.01
rounders.n.01	ixodidae.n.01
asian_black_grouse.n.01	smelt.n.02
rabbitfish.n.01	lockdown.n.01
prunellidae.n.01	retreat.n.01
chess.n.02	gobiesocidae.n.01
endoparasite.n.01	nibble.n.02
antineoplastic_antibiotic.n.01	devaluation.n.02
caressing.n.01	milvus.n.01
hipsurus.n.01	agapornis.n.01
selflessness.n.02	mexican_pocket_mouse.n.01
native_cat.n.01	strafe.n.01
nitrosobacteria.n.01	grey_flounder.n.01
goatfish.n.01	false_vampire.n.01
bluefish.n.01	abutment.n.02
homopterous_insect.n.01	course.n.04
rebuilding.n.01	tenebrionidae.n.01
notation.n.03	leaf-footed_bug.n.01
acanthocephala.n.01	carabidae.n.01
measure.n.02	april_fool.n.02
anniellidae.n.01	lemming.n.01
cadra.n.01	sarcodina.n.01
lygaeid.n.01	header.n.07
norway_lobster.n.01	duplication.n.02
pull.n.07	alto_relievo.n.01
banking.n.01	true_marmoset.n.01
incurvation.n.02	backpacking_tent.n.01
laundering.n.01	prolonged_interrogation.n.01
treading_water.n.01	withdrawal.n.09
survivors_insurance.n.01	ornithischia.n.01
charales.n.01	wishbone.n.01
ball-buster.n.02	calymmatobacterium.n.01
unobserved_fire.n.01	air_bladder.n.01
placement.n.02	coluber.n.01
tobogganing.n.01	admiralty.n.02
extrinsic_fraud.n.01	formica_fusca.n.01
selling.n.01	vein.n.05
going-over.n.01	trichosurus.n.01
baldric.n.01	drafting.n.01
antenna.n.03	clay-colored_robin.n.01
all_fours.n.01	eubacteriales.n.01
gratification.n.02	athiorhodaceae.n.01
sciuromorpha.n.01	alopex.n.01
consulship.n.01	angulation.n.01
voicing.n.01	pooch.n.01
passing.n.06	catalufa.n.01
vermillion_rockfish.n.01	gerbil.n.01
odobenus.n.01	phyllium.n.01
wood_duck.n.01	french_revolution.n.01
glass_sponge.n.01	evening_grosbeak.n.01
atticus.n.01	siren.n.05
migratory_grasshopper.n.01	heron.n.02
wing.n.01	reinstatement.n.02
tubulidentata.n.01	tineidae.n.01
ascaphus.n.01	chrysochloris.n.01
limacidae.n.01	blood_count.n.02
compression.n.03	reshuffle.n.02
grade.n.09	alcyonacea.n.01
stayer.n.01	black_sheep.n.02
style.n.09	scumble.n.01
tamias.n.01	potamogalidae.n.01
intrinsic_fraud.n.01	porkfish.n.01
traffic_control.n.01	whiting.n.03
sphenisciformes.n.01	draft_animal.n.01
bearded_seal.n.01	rope-a-dope.n.01
sand_snake.n.01	reentry.n.01
extermination.n.02	chomping.n.01
engagement.n.05	contraction.n.01
lacertid_lizard.n.01	honorable_discharge.n.01
thanks.n.02	acipenser.n.01
eurypterid.n.01	kinkajou.n.01
pediculati.n.01	simulation.n.01
psychological_operation.n.01	delphinapterus.n.01
wrestling.n.02	brocket.n.02
scoter.n.01	merlangus.n.01
giant_conch.n.01	amphisbaenidae.n.01
genus_galago.n.01	undoing.n.01
transformation.n.05	cuttlefish.n.01
dressing.n.07	idolatry.n.01
spodoptera.n.01	mamba.n.01
parade.n.03	peba.n.01
linkage.n.04	shtik.n.04
solan.n.01	otter.n.02
archilochus.n.01	ulvales.n.01
english_sole.n.02	trichophaga.n.01
thrombolytic_therapy.n.01	pristis.n.01
escalade.n.01	alpenstock.n.01
crotalidae.n.01	copyright_infringement.n.01
hostile_takeover.n.01	bagger.n.02
new_world_tapir.n.01	whale_louse.n.01
buyout.n.01	bombyx.n.01
biological_defense.n.01	appraisal.n.03
pomfret.n.01	false_vampire.n.01
callithricidae.n.01	predation.n.02
tessellation.n.02	satin_bowerbird.n.01
ectoproct.n.01	platyctenean.n.01
jack.n.12	pearly-shelled_mussel.n.01
sarcodinian.n.01	buyout.n.01
blastoderm.n.01	chuckwalla.n.01
earwig.n.01	american_mastodon.n.01
horse.n.01	aggravation.n.02
cobra.n.01	carving.n.02
economy.n.04	pacification.n.01
philophylla.n.01	afghan_hound.n.01
honey_buzzard.n.01	picumnus.n.01
sellout.n.01	synaptomys.n.01
wood_ant.n.01	scheduled_maintenance.n.01
cackler.n.01	transportation.n.02
return.n.10	rainbow_runner.n.01
cnidosporidia.n.01	scorched-earth_policy.n.01
lobata.n.01	eurasian_green_toad.n.01
seder.n.01	caprimulgiform_bird.n.01
scuba_diving.n.01	sidestep.n.01
internationalization.n.01	gopher.n.04
brush.n.08	drive-by_killing.n.01
columbidae.n.01	rainbow_trout.n.02
monoplane_flying_fish.n.01	baldachin.n.01
cockerel.n.01	polychaeta.n.01
japanese_beetle.n.01	southern_bog_lemming.n.01
saber-toothed_tiger.n.01	annulet.n.03
geophilomorpha.n.01	mechanism.n.02
requiem_shark.n.01	pedionomus.n.01
aeronautical_engineering.n.02	ornithischia.n.01
stichaeidae.n.01	steed.n.01
green_peafowl.n.01	ground-controlled_approach.n.01
fasciolidae.n.01	garden_spider.n.01
rangifer.n.01	studentship.n.01
hunt.n.07	grey_market.n.01
tent-caterpillar_moth.n.02	procellaria.n.01
scolopax.n.01	acropora.n.01
diabolatry.n.01	intracapsular_surgery.n.01
ascidian_tadpole.n.01	sledding.n.01
a_cappella_singing.n.01	scalage.n.02
piloting.n.02	puffbird.n.01
black_marlin.n.01	expedient.n.01
hohenlinden.n.02	braising.n.01
neural_tube.n.01	war.n.01
freeze.n.04	phytoplankton.n.01
achoerodus.n.01	aviary.n.01
mirounga.n.01	froghopper.n.01
implantation.n.02	amusement_arcade.n.01
oriental_cockroach.n.01	clypeus.n.01
jackstraws.n.01	anguilla.n.02
greater_kudu.n.01	goose.n.01
meatpacking.n.01	callimorpha.n.01
soul_kiss.n.01	atlantic_bottlenose_dolphin.n.01
methanogen.n.01	wailing.n.01
coraciidae.n.01	civil_defense.n.01
creating_from_raw_materials.n.01	pentastomida.n.01
mojave_rattlesnake.n.01	sales_campaign.n.01
pere_david's_deer.n.01	visiting.n.01
shining.n.01	echinoderm.n.01
approach_trench.n.01	lion_cub.n.01
tunga.n.01	red-winged_blackbird.n.01
bending.n.03	redetermination.n.01
forewing.n.01	retreat.n.01
helix_hortensis.n.01	garage_sale.n.01
schizophyta.n.01	marketing.n.03
direct_marketing.n.01	straight_ticket.n.01
golden_retriever.n.01	cirrus.n.03
osteichthyes.n.01	snuffle.n.01
sciaenid_fish.n.01	wolf_spider.n.01
rejuvenation.n.02	hunting_dog.n.01
uptick.n.01	aspidelaps.n.01
striped_mullet.n.01	myxoma_virus.n.01
pristidae.n.01	plant.n.02
apprehension.n.04	australopithecine.n.01
myelography.n.01	personal_care.n.01
runner.n.10	bobolink.n.01
relegation.n.02	roleplaying.n.01
band.n.10	style.n.09
electric_ray.n.01	human_t-cell_leukemia_virus-1.n.01
orthoptera.n.01	flood.n.04
conodont.n.02	genus_moloch.n.01
downshift.n.01	family_practice.n.01
change_of_integrity.n.01	ciconiidae.n.01
coxsackievirus.n.01	defoliator.n.01
attainment.n.01	wheatear.n.01
affirmed.n.01	non-engagement.n.01
microdipodops.n.01	rail_technology.n.01
giant_armadillo.n.01	crossopterygian.n.01
round_scad.n.01	saratoga.n.02
kyphosidae.n.01	ballottement.n.01
pitta.n.01	disconnection.n.03
false_verdict.n.01	hands.n.01
celioscopy.n.01	bending.n.03
lamellicornia.n.01	review.n.09
momotus.n.01	caressing.n.01
lip_synchronization.n.01	scaling.n.01
grand_tour.n.01	counterintelligence.n.01
pittidae.n.01	cascades_frog.n.01
horseleech.n.01	butcherbird.n.02
fall.n.05	hair.n.06
computer_game.n.01	jazz_festival.n.01
roentgenography.n.01	griffon_vulture.n.01
ground-shaker.n.01	hydrochoeridae.n.01
containment.n.03	cross-fertilization.n.02
dibranchiate.n.01	farming.n.02
phalangida.n.01	boarfish.n.01
blattella.n.01	spring_cankerworm.n.01
caviidae.n.01	draw.n.08
mud_turtle.n.01	anastylosis.n.01
piculet.n.01	infusoria.n.01
stizidae.n.01	bullying.n.01
mind_game.n.02	swiz.n.01
air_gun.n.01	spider_monkey.n.01
cadra.n.01	housing_start.n.01
battle_of_the_marne.n.01	dreissena.n.01
tortoiseshell.n.02	hatha_yoga.n.01
thecodont.n.01	leontocebus.n.01
digitalization.n.01	typification.n.02
hooded_merganser.n.01	new_world_jay.n.01
arab-israeli_war.n.02	spitz.n.01
satin_bowerbird.n.01	corner_kick.n.01
sporozoa.n.01	mephitis.n.03
brine_shrimp.n.01	corydalus.n.01
starnose_mole.n.01	chop.n.05
bangle.n.02	northern_whiting.n.01
majidae.n.01	anopheles.n.01
tail_feather.n.01	emberiza.n.01
luvaridae.n.01	escalade.n.01
bait_casting.n.01	trap_block.n.01
airdock.n.01	neotoma.n.01
acupuncture.n.01	physa.n.01
ruffed_grouse.n.01	prefecture.n.02
spiritualization.n.01	metazoan.n.01
two-year-old_horse.n.01	porterage.n.02
dunk.n.01	waterloo.n.03
rape_conviction.n.01	yorktown.n.02
eastern_lowland_gorilla.n.01	corrections.n.02
dog_show.n.01	lay-up.n.01
praya.n.01	sideshow.n.02
humoral_immune_response.n.01	soft-shell_crab.n.02
paternity_suit.n.01	cabaret.n.02
anchorage.n.05	viviparous_eelpout.n.01
paracheirodon.n.01	myaceae.n.01
slowdown.n.01	flicker.n.02
view.n.03	crossopterygian.n.01
cimex.n.01	toothed_whale.n.01
pacific_walrus.n.01	attorneyship.n.01
going-over.n.01	valmy.n.01
genus_macrotus.n.01	atlantic_walrus.n.01
canachites.n.01	cardinalship.n.01
objectification.n.01	arsenal.n.02
foal.n.01	silurus.n.01
gonococcus.n.01	scrabble.n.02
locking.n.01	affray.n.02
jackdaw.n.01	puffer.n.02
calliphoridae.n.01	visit.n.04
carangid_fish.n.01	hostile_takeover.n.01
copper_rockfish.n.01	secretary_of_commerce_and_labor.n.01
fig-bird.n.01	arbitration.n.02
homemaking.n.01	hermit_thrush.n.01
nuda.n.01	coalescence.n.01
confusion.n.04	client-centered_therapy.n.01
procellaria.n.01	stretch.n.04
suckling_reflex.n.01	lift.n.12
yellowtail_flounder.n.02	chewink.n.01
angel_shark.n.01	titanosaur.n.01
shave.n.01	baboon.n.01
safety_squeeze_play.n.01	climb.n.03
manual_labor.n.01	foray.n.02
oversight.n.03	major_surgery.n.01
mud_dauber.n.01	manual_labor.n.01
equus.n.01	genus_loris.n.01
radar_fire.n.01	dugongidae.n.01
fire.n.02	cardiospasm.n.01
eviction.n.02	pine_spittlebug.n.01
taxis.n.02	shoeshine.n.02
polymastigina.n.01	revival.n.01
chip.n.08	white_mullet.n.01
simple_mastectomy.n.01	italian_bee.n.01
agon.n.01	human_immunodeficiency_virus.n.01
geophilus.n.01	rehabilitation.n.04
viper.n.01	secretary_of_state.n.03
trachurus.n.01	listeria_monocytogenes.n.01
genus_sargassum.n.01	arrow.n.02
dressing.n.06	synagrops.n.01
walkout.n.02	amobarbital_sodium.n.01
melanitta.n.01	comma_bacillus.n.01
chastity.n.01	cumulative_vote.n.01
goal.n.04	shovelhead.n.01
acceptance_sampling.n.01	cuterebra.n.01
jihad.n.02	point_after.n.01
harrier_eagle.n.01	horse.n.01
blindman's_bluff.n.01	game_fowl.n.01
zoarces.n.01	burhinidae.n.01
sinecure.n.02	tautoga.n.01
culture.n.04	skye_terrier.n.01
incorporation.n.01	trachodon.n.01
discoglossidae.n.01	gaviiformes.n.01
langur.n.01	pythian_games.n.01
procrastination.n.01	window_oyster.n.01
cruelty.n.01	embryonic_tissue.n.01
cisco.n.02	babyrousa.n.01
pagellus.n.01	ash-pan.n.01
wrongdoing.n.02	counterpreparation_fire.n.01
contopus.n.01	whiting.n.06
afterdeck.n.01	phascogale.n.01
countercharge.n.02	creepy-crawly.n.01
symbolatry.n.01	forced_feeding.n.01
jack.n.12	whip-scorpion.n.01
amphotericin.n.01	oppression.n.01
scale.n.10	section_eight.n.02
monomorium.n.01	betrothal.n.02
double_blind.n.01	prionace.n.01
fontenoy.n.01	pauropoda.n.01
a-scan_ultrasonography.n.01	tradeoff.n.01
typification.n.02	noblesse_oblige.n.01
phototherapy.n.01	strip_cropping.n.01
business.n.06	echoencephalography.n.01
chorizagrotis.n.01	domestication.n.03
acting.n.01	ranatra.n.01
side-blotched_lizard.n.01	woolly_apple_aphid.n.01
armored_personnel_carrier.n.01	corvee.n.01
cetorhinus.n.01	dichotomization.n.01
lymphangiography.n.01	lanius.n.01
damage.n.03	gallinago.n.01
canonization.n.01	whinchat.n.01
interpenetration.n.01	vaquita.n.01
altar.n.02	beaver_rat.n.01
syracuse.n.03	tent_caterpillar.n.01
orchestia.n.01	french_lesson.n.01
potamophis.n.01	staphylinidae.n.01
police_work.n.01	worrying.n.02
scouring.n.01	hit.n.02
impression.n.09	bombycillidae.n.01
blastocyst.n.01	bovini.n.01
gastroscopy.n.01	yellowlegs.n.01
secession.n.02	back_exercise.n.01
projective_test.n.01	common_snapping_turtle.n.01
cur.n.01	scientific_research.n.01
chilomastix.n.01	pteriidae.n.01
western_lowland_gorilla.n.01	electronic_deception.n.01
behavior.n.01	water_moccasin.n.02
saber_rattling.n.01	barber_chair.n.01
tailless_tenrec.n.01	acrididae.n.01
genus_ichthyosaurus.n.01	undercover_operation.n.01
ptilonorhynchidae.n.01	tyto.n.01
common_raccoon.n.01	writing.n.01
prostatectomy.n.01	axolotl.n.01
molossidae.n.01	idolatry.n.02
pernis.n.01	square-bashing.n.01
lufengpithecus.n.01	apparatus.n.01
suttee.n.01	shovelhead.n.01
stormy_petrel.n.01	black_kite.n.01
athletic_facility.n.01	adoration.n.03
tropidoclonion.n.01	plea.n.03
raccoon.n.02	survivors_insurance.n.01
autoradiograph.n.01	summary_judgment.n.01
service.n.02	retirement.n.02
white_crappie.n.01	crooning.n.02
dotterel.n.01	vexatious_litigation.n.01
round.n.06	numbat.n.01
flesh_fly.n.01	menippe.n.01
communization.n.02	artist's_workroom.n.01
genus_nanomia.n.01	chrysopidae.n.01
sympathy_strike.n.01	survivor.n.03
entoproct.n.01	northern_pocket_gopher.n.01
belemnite.n.01	archilochus_colubris.n.01
spawn.n.01	materials_handling.n.01
cetorhinidae.n.01	army_high_performance_computing_research_center.n.01
granulation.n.02	withdrawal.n.09
luging.n.01	herbivore.n.01
ambages.n.01	phalangiidae.n.01
southern_bog_lemming.n.01	mealworm.n.01
basketball_score.n.01	rough_fish.n.01
anklet.n.02	strepsirhini.n.01
round.n.06	merlangus.n.01
peafowl.n.01	price-fixing.n.01
arca.n.01	assembly.n.01
gulo.n.01	euplectella.n.01
pheasant.n.01	elanus.n.01
goral.n.01	metatheria.n.01
arthroplasty.n.01	spectacle.n.03
blackburn.n.01	gymnogyps.n.01
edible_mussel.n.01	white-tailed_kite.n.01
nationalization.n.01	titanosauridae.n.01
fish.n.01	two-toed_sloth.n.02
owl.n.01	gerrhonotus.n.01
latrodectus.n.01	apatosaur.n.01
ginglymostoma.n.01	sarda.n.01
prey.n.02	timing.n.02
cyprinodontidae.n.01	sucker_punch.n.01
pectinidae.n.01	kestrel.n.02
insemination.n.02	point_after.n.01
tongue_worm.n.01	frying.n.01
air_horn.n.02	misdemeanor.n.01
airframe.n.01	golf.n.01
stercorarius.n.01	shift.n.05
chameleon_tree_frog.n.01	clinidae.n.01
phoronida.n.01	stormy_petrel.n.01
airline.n.01	naked_mole_rat.n.01
ixodes_dentatus.n.01	dyeing.n.01
raccoon_dog.n.01	possession.n.02
widegrip_pushup.n.01	bank.n.10
disobedience.n.01	spheniscus.n.01
characinidae.n.01	epinephelus.n.01
western_whiptail.n.01	ocean_sunfish.n.01
richmondena.n.01	transposition.n.07
lambis.n.01	celebration.n.03
routine.n.01	down.n.02
zama.n.01	mollusk.n.01
scheduled_fire.n.01	mastotermes_electromexicus.n.01
claim.n.03	sphenisciformes.n.01
lampridae.n.01	monodon.n.01
ingratiation.n.01	coliphage.n.01
aramus.n.01	bassinet.n.01
argasidae.n.01	blue-headed_vireo.n.01
spanish-american_war.n.01	sphecoid_wasp.n.01
airbrake.n.02	endamoeba.n.01
goliath_frog.n.01	atomic_warhead.n.01
hack.n.08	retrenchment.n.02
military_action.n.01	anseriformes.n.01
check-in.n.01	hemitripterus.n.01
naught.n.02	louse.n.01
black_duck.n.01	currawong.n.01
hit.n.02	provision.n.02
attendance.n.01	green_monkey.n.01
back_exercise.n.01	macaque.n.01
diaspididae.n.01	guide_dog.n.01
amobarbital.n.01	counteroffensive.n.01
retailing.n.01	charales.n.01
dramatics.n.01	firebrat.n.01
backbench.n.01	decapoda.n.01
blue_mockingbird.n.01	bataan.n.01
agamid.n.01	take.n.02
tactical_intelligence.n.01	sciaenidae.n.01
destruction.n.01	cob.n.02
open_sesame.n.01	trichiuridae.n.01
porterage.n.02	lamnidae.n.01
maeandra.n.01	hexagrammos.n.01
interception.n.02	valediction.n.02
manis.n.01	porphyrula.n.01
chough.n.01	arithmetic_operation.n.01
aggravation.n.03	packhorse.n.01
band.n.07	butchery.n.02
attorneyship.n.01	recusation.n.02
gallantry.n.03	chlorophoneus.n.01
macroclemys.n.01	parazoa.n.01
spiny_lizard.n.02	cell-mediated_immune_response.n.01
lobata.n.01	tarpon.n.01
hemigrammus.n.01	cannonade.n.01
louse_fly.n.01	rabbit.n.01
adultery.n.01	fingering.n.01
circulation.n.06	paradisaeidae.n.01
mission.n.02	honeycreeper.n.02
typhoid_bacteriophage.n.01	batrachoseps.n.01
argyrotaenia.n.01	hyperemesis.n.01
professional_boxing.n.01	importing.n.01
actinomyxidian.n.01	havoc.n.01
mockingbird.n.01	overthrow.n.01
darning.n.01	bovid.n.01
sashay.n.01	abomination.n.03
set-to.n.01	riot_control.n.01
greater_pichiciego.n.01	long_division.n.01
kyphosidae.n.01	rooting_reflex.n.01
arm.n.04	aotus.n.01
dismount.n.01	pachycephala.n.01
disengagement.n.02	fakery.n.01
macaca.n.01	genus_chiton.n.01
tribute.n.02	whiting.n.04
rogue_elephant.n.01	genus_lynx.n.01
testcross.n.01	tribadism.n.01
amphora.n.01	hecatomb.n.01
looking.n.02	rock_wren.n.01
job.n.05	carpentry.n.01
weaving.n.01	beat.n.09
eastern_lowland_gorilla.n.01	rough_fish.n.01
chokehold.n.02	childcare.n.01
mountain_goat.n.01	crevalle_jack.n.01
trophozoite.n.01	alsophila.n.01
summer_flounder.n.01	cystophora.n.01
alsophila.n.01	sciaenidae.n.01
silkworm.n.02	caudal_appendage.n.01
straight_hang.n.01	cyamus.n.01
deterrence.n.03	fabrication.n.02
housecleaning.n.01	concatenation.n.04
dance_step.n.01	squeeze_play.n.02
wait.n.02	gnat.n.01
lunching.n.01	black-footed_albatross.n.01
medical_evacuation.n.01	wolffish.n.01
tiger_moth.n.01	hang_gliding.n.01
comparison.n.01	jena.n.01
pariah_dog.n.01	dasyatis.n.01
adhesive_bandage.n.01	sandgrouse.n.01
pallas's_sandgrouse.n.01	monochamus.n.01
vespid.n.01	pale_chrysanthemum_aphid.n.01
piaffe.n.01	injection.n.01
heterosomata.n.01	cycliophora.n.01
materials_handling.n.01	jazz_festival.n.01
carolina_chickadee.n.01	double-blind_procedure.n.01
levitation.n.03	guardianship.n.02
corixidae.n.01	parainfluenza_virus.n.01
sclerite.n.01	communications_intelligence.n.01
thrombolytic_therapy.n.01	luging.n.01
wirehair.n.01	adult.n.02
dog_show.n.01	red-breasted_merganser.n.01
agincourt.n.01	fifth_crusade.n.01
towhee.n.01	cinnamon_bear.n.01
baseball_glove.n.01	mind_game.n.01
scapular.n.01	manduca_quinquemaculata.n.02
swift.n.03	percussion.n.02
sand_stargazer.n.01	atlantic_herring.n.01
dolce_far_niente.n.01	breakthrough.n.02
coryphaenidae.n.01	sphyraenidae.n.01
auxiliary_research_submarine.n.01	tomistoma.n.01
stand.n.12	puddingwife.n.01
bovidae.n.01	spiny_dogfish.n.01
layoff.n.01	vivification.n.02
pheasant.n.01	baseboard.n.01
genus_tyrannosaurus.n.01	ocean_sunfish.n.01
abrocome.n.01	lucy.n.01
completion.n.02	asparaginase.n.01
lappet.n.03	sitta.n.01
prothorax.n.01	irreverence.n.02
steller's_sea_cow.n.01	argonautidae.n.01
rickettsiaceae.n.01	european_fire_salamander.n.01
aquatic_bird.n.01	hobbyism.n.01
leptotyphlopidae.n.01	law_practice.n.01
detribalization.n.01	bandicoot_rat.n.01
shrew.n.02	agglomerator.n.01
matchmaking.n.01	amplifier.n.01
heliobacter_pylori.n.01	ileostomy.n.01
scorpionida.n.01	box.n.10
peachick.n.01	chip.n.08
potoroo.n.01	great_white_heron.n.02
euopean_hoopoe.n.01	echinococcus.n.01
hardening.n.03	furor.n.02
goose_barnacle.n.01	desertion.n.01
stalk.n.04	trophozoite.n.01
ground_beetle.n.01	blindman's_bluff.n.01
squeeze.n.01	course_session.n.01
croaker.n.02	loss.n.03
rainbow_lorikeet.n.01	knockout.n.02
americanism.n.03	genus_megalosaurus.n.01
orleans.n.02	caranx.n.01
axle.n.01	argyrotaenia.n.01
stanford-binet_test.n.01	fairy_swallow.n.01
aepyorniformes.n.01	homarus.n.01
cuticula.n.01	song_sparrow.n.01
drug_traffic.n.01	demand.n.04
beat.n.09	liomys.n.01
attenuator.n.01	headship.n.01
baby_oil.n.01	ecclesiasticism.n.01
phoebe.n.03	prisoner's_base.n.01
onion_yellow-dwarf_virus.n.01	genus_anomalops.n.01
enfilade.n.01	octopus.n.02
finish.n.09	struthio.n.01
clingfish.n.01	dung_beetle.n.01
trinectes.n.01	nanomia.n.01
spotted_hyena.n.01	clethrionomys.n.01
hampton_roads.n.02	northern_phalarope.n.01
exacta.n.01	record.n.06
acetate_disk.n.01	bannister.n.02
bird.n.01	notochord.n.01
population.n.05	rehabilitation.n.01
copepoda.n.01	akeridae.n.01
high-angle_fire.n.01	genus_amphiuma.n.01
potato_moth.n.01	chaja.n.01
beanball.n.01	proxy_fight.n.01
wahoo.n.03	liberation.n.01
green_snake.n.02	garrulinae.n.01
notemigonus.n.01	mako.n.01
mantispidae.n.01	bufonidae.n.01
soapfish.n.01	saddle_horse.n.01
lemuroidea.n.01	tilefish.n.02
neophron.n.01	stage.n.06
gamble.n.02	metazoa.n.01
natantia.n.01	spoonbill.n.01
cannae.n.01	keyhole_limpet.n.01
audition.n.02	ardea.n.01
chick.n.01	kingfisher.n.01
bollworm.n.01	tonometry.n.01
decoration.n.03	lipotyphla.n.01
butterfly.n.01	submission.n.02
socialization.n.01	pas_de_deux.n.01
ace_of_diamonds.n.01	squid.n.02
affairs.n.02	house_centipede.n.01
emberizidae.n.01	measure.n.02
decapod_crustacean.n.01	ax_head.n.01
drymarchon.n.01	congener.n.03
varied_lorikeet.n.01	conducting.n.01
sild.n.01	stalk.n.04
norman_conquest.n.01	cephalochordata.n.01
calf_roping.n.01	peripatopsidae.n.01
profligacy.n.02	jennet.n.01
american_marten.n.01	cupule.n.02
opinion.n.05	gram's_method.n.01
pick-off.n.01	arcade.n.02
branta.n.01	price-fixing.n.01
aculea.n.01	chrysaora.n.01
isopoda.n.01	lagothrix.n.01
bass_fiddle.n.01	incitation.n.02
cutlassfish.n.01	mummification.n.03
fabrication.n.03	teleportation.n.01
syrinx.n.02	carouse.n.01
annihilation.n.01	brawl.n.02
madoqua.n.01	annulet.n.01
lovebird.n.02	malarial_mosquito.n.01
american_black_bear.n.01	sterninae.n.01
mecopteran.n.01	sequestration.n.04
pholis.n.01	chemotaxis.n.01
parcheesi.n.01	water_snake.n.01
yellow-breasted_bunting.n.01	anobiidae.n.01
braising.n.01	genus_taenia.n.01
sclerite.n.01	frogmouth.n.01
vicuna.n.03	jag.n.04
track_record.n.01	ruby-crowned_kinglet.n.01
ludo.n.01	black-billed_cuckoo.n.01
bacteria_species.n.01	iridoprocne.n.01
western_tanager.n.01	bloodbath.n.01
military_action.n.01	lemon_shark.n.01
plankton.n.01	scup.n.03
marathon.n.01	backgammon.n.01
litigation.n.01	conenose.n.01
rajidae.n.01	electric_shock.n.01
simian.n.01	adrenergic_agonist_eyedrop.n.01
fusion.n.07	duplicidentata.n.01
pochard.n.01	double_entry.n.01
squalus.n.01	white_admiral.n.02
grosbeak.n.01	phthiriidae.n.01
chemotaxis.n.01	discocephali.n.01
epstein-barr_virus.n.01	euryale.n.02
molding.n.01	pholas.n.01
golf_stroke.n.01	large_poodle.n.01
call.n.11	little_blue_heron.n.01
orchestiidae.n.01	usurpation.n.02
xenopodidae.n.01	viverridae.n.01
call-back.n.02	percussion.n.04
congener.n.03	criminal_possession.n.01
burden_of_proof.n.01	eumenes.n.01
amphibious_landing.n.01	tom.n.02
conditioner.n.01	heroics.n.01
gaviiform_seabird.n.01	new_world_flycatcher.n.01
bet.n.02	rebuff.n.01
rhesus.n.01	moon_shell.n.01
balloon_sail.n.01	elimination.n.05
palfrey.n.01	amphibian_family.n.01
maleo.n.01	quarter.n.14
wood_rabbit.n.01	eumetopias.n.01
oil_change.n.01	trojan_war.n.01
work_to_rule.n.01	cape_may_warbler.n.01
tinamiformes.n.01	physeter.n.01
jumping_plant_louse.n.01	araroba.n.01
toss.n.03	squirrel_monkey.n.01
argyrotaenia.n.01	charophyceae.n.01
split.n.01	genus_ommastrephes.n.01
perseverance.n.02	superannuation.n.03
vaquita.n.01	molidae.n.01
antihypertensive.n.01	true_bug.n.01
trachurus.n.01	xantusiidae.n.01
malopterurus.n.01	antineoplastic_antibiotic.n.01
barbu.n.01	ginglymostoma.n.01
brewing.n.01	secondment.n.02
curtain_raiser.n.01	brush.n.07
tiger_snake.n.01	interim_overhaul.n.01
sit-in.n.01	mycobacteriaceae.n.01
bureaucratic_procedure.n.01	whistle-stop_tour.n.01
sovereign_immunity.n.01	goldcrest.n.01
chrysophyta.n.01	atherinidae.n.01
triangulation.n.02	northern_cricket_frog.n.01
style.n.09	petaurus.n.01
dragon.n.04	bloodletting.n.01
saber_rattling.n.01	goal-kick.n.02
amphiuma.n.01	homo_habilis.n.01
placuna.n.01	artillery_shell.n.01
stork.n.01	stunt.n.02
adrenergic_agonist_eyedrop.n.01	sighting.n.01
seismography.n.01	pyrophorus.n.01
importing.n.01	air_horn.n.01
satin_bowerbird.n.01	bar_bit.n.01
mole_cricket.n.01	ovipositor.n.01
sea_mouse.n.01	stone_crab.n.02
alb.n.01	white-footed_mouse.n.01
bank_examination.n.01	night_snake.n.01
mourning_cloak.n.01	bovine.n.01
crangonidae.n.01	accommodation_reflex.n.01
numismatics.n.01	banzai_attack.n.01
regency.n.03	tombola.n.01
shift.n.05	election.n.02
lanius.n.01	jag.n.04
alectura.n.01	barring.n.01
blackfly.n.01	african_grey.n.01
cornhusking.n.02	american_merganser.n.01
myrmeleontidae.n.01	venography.n.01
combination.n.07	starnose_mole.n.01
elective_course.n.01	restitution.n.03
immunotherapy.n.01	siamese_cat.n.01
antipyresis.n.01	antiaircraft_fire.n.01
hair.n.06	denizen.n.02
toe-in.n.01	cloven_foot.n.02
air_raid.n.01	revocation.n.02
mexican_bean_beetle.n.01	tadorna.n.01
whitelash.n.01	group_participation.n.01
forehand_drive.n.01	alidade.n.02
sexual_discrimination.n.01	radiography.n.02
fly-fishing.n.01	strip.n.06
block_grant.n.01	writing.n.01
vendetta.n.01	adornment.n.02
plum.n.03	uptick.n.01
trialeurodes.n.01	gymnastic_exercise.n.01
weakening.n.02	woolly_bear_moth.n.01
old_world_coot.n.01	chilomastix.n.01
orectolobidae.n.01	shrike.n.01
