agitation.n.05	shaking.n.01
bird_genus.n.01	passer.n.05
animal_order.n.01	tyranni.n.01
pitched_battle.n.01	ravenna.n.01
grant.n.02	grant-in-aid.n.01
arrival.n.02	landing.n.03
position.n.06	magistracy.n.01
amphibian_genus.n.01	genus_dicamptodon.n.01
escape.n.01	hegira.n.01
limitation.n.05	clampdown.n.01
assembly.n.06	convocation.n.02
bird_genus.n.01	cyanocitta.n.01
bacillus.n.01	bacillus_subtilis.n.01
campaign.n.03	dardanelles.n.02
hard_tick.n.01	ixodes_dammini.n.01
change_of_shape.n.01	angulation.n.02
bird_genus.n.01	riparia.n.01
flicker.n.02	red-shafted_flicker.n.01
trade.n.02	papermaking.n.01
maneuver.n.03	obstruction.n.05
war.n.01	vietnam_war.n.01
jumping.n.01	broad_jump.n.02
learned_profession.n.01	law.n.06
work.n.01	loose_end.n.01
protection.n.01	shielding.n.01
provision.n.02	purveyance.n.01
market.n.01	buyer's_market.n.01
abandonment.n.01	bolt.n.07
new_world_blackbird.n.01	cowbird.n.01
bird_family.n.01	picidae.n.01
performance.n.02	dramatic_production.n.01
verdict.n.01	compromise_verdict.n.01
sacrament.n.01	matrimony.n.02
baseball_play.n.01	double_play.n.01
offense.n.05	counteroffensive.n.01
sorting.n.03	separation.n.04
struggle.n.01	scramble.n.01
fetus.n.01	monster.n.05
ballroom_dancing.n.01	fox-trot.n.01
position.n.06	sainthood.n.02
mycoplasma.n.01	pleuropneumonialike_organism.n.01
takeover_bid.n.01	two-tier_bid.n.01
cultivation.n.02	aquaculture.n.01
athletic_game.n.01	water_polo.n.01
oblation.n.02	offertory.n.02
hummingbird.n.01	thornbill.n.01
wrongdoing.n.02	infliction.n.02
lizard.n.01	teiid_lizard.n.01
mass.n.04	high_mass.n.01
felony.n.01	extortion.n.03
game.n.03	catch.n.08
count.n.02	recount.n.01
creeper.n.03	european_creeper.n.01
contest.n.02	popularity_contest.n.01
social_control.n.01	domination.n.01
pitched_battle.n.01	omdurman.n.02
board_game.n.01	chess.n.02
mischief.n.01	vandalism.n.01
football.n.01	professional_football.n.01
bird_genus.n.01	contopus.n.01
free_kick.n.01	corner_kick.n.01
archaebacteria.n.01	halophile.n.01
exercise.n.03	military_drill.n.01
trade.n.02	roofing.n.02
golf_stroke.n.01	putt.n.01
psychological_feature.n.01	event.n.01
old_world_warbler.n.01	wood_warbler.n.02
reptile_genus.n.01	dipsosaurus.n.01
activity.n.01	works.n.03
pitch.n.02	fastball.n.01
sport.n.02	professional_wrestling.n.01
discontinuance.n.01	phase-out.n.01
cleaning.n.01	purification.n.01
abstinence.n.02	sobriety.n.04
turn.n.03	down.n.02
reptile_genus.n.01	micruroides.n.01
mission.n.02	search_and_destroy_mission.n.01
hawk.n.01	rough-legged_hawk.n.01
practice.n.01	pluralism.n.03
ornithischian.n.01	ornithopod.n.01
delivery.n.07	breech_delivery.n.01
coelenterate_genus.n.01	chrysaora.n.01
birth_control.n.01	contraception.n.01
pitch.n.02	screwball.n.02
shooting.n.01	shoot.n.02
rotation.n.01	feather.n.02
dispatch.n.02	reshipment.n.01
travel.n.01	stage.n.06
reproduction.n.05	miscegenation.n.01
care.n.01	babysitting.n.01
group_action.n.01	assembly.n.06
racing.n.01	greyhound_racing.n.01
worm_genus.n.01	tylenchus.n.01
serve.n.01	fault.n.07
puff.n.07	toke.n.01
joining.n.01	intersection.n.06
oligochaete.n.01	earthworm.n.01
oscine.n.01	new_zealand_wren.n.01
air_defense.n.01	passive_air_defense.n.01
salmonella.n.01	typhoid_bacillus.n.01
musical_performance.n.01	singing.n.01
writing.n.01	drafting.n.01
nonaccomplishment.n.01	failure.n.01
shot.n.15	slapshot.n.01
bird_genus.n.01	xenicus.n.01
teiid_lizard.n.01	teju.n.01
mollusk.n.01	gastropod.n.01
crying.n.01	wailing.n.01
amphibian_genus.n.01	taricha.n.01
finch.n.01	grosbeak.n.01
concealment.n.03	burying.n.01
cyprinodont.n.01	guppy.n.01
baseball.n.01	stickball.n.01
squirrelfish.n.02	deepwater_squirrelfish.n.01
subtraction.n.02	bite.n.09
struggle.n.01	duel.n.02
animal_order.n.01	malacopterygii.n.01
worm_genus.n.01	terebella.n.01
poison_pill.n.01	suicide_pill.n.01
change_of_shape.n.01	fold.n.07
reptile_genus.n.01	pygopus.n.01
trogon.n.01	quetzal.n.02
feat.n.01	derring-do.n.01
monotreme.n.01	echidna.n.02
acting.n.01	reenactment.n.01
vertebrate.n.01	amniote.n.01
litigation.n.01	vexatious_litigation.n.01
finch.n.01	towhee.n.01
frog.n.01	crapaud.n.01
worm_family.n.01	ascaridae.n.01
change_of_integrity.n.01	breakage.n.03
writing.n.05	cryptography.n.02
carry.n.01	fireman's_carry.n.01
reptile.n.01	diapsida.n.01
transportation.n.05	ferry.n.02
playing.n.01	transposition.n.07
employment.n.02	piecework.n.01
handicraft.n.02	spinning.n.01
electronic_warfare.n.01	electromagnetic_intrusion.n.01
arrival.n.02	return.n.02
touch.n.05	tap.n.08
eating.n.01	browse.n.03
stroke.n.12	keystroke.n.01
occupation.n.01	profession.n.02
chordate_family.n.01	doliolidae.n.01
bird_genus.n.01	accipiter.n.01
ostomy.n.01	ileostomy.n.01
bird_genus.n.01	falco.n.01
table_game.n.01	table_tennis.n.01
insectivore.n.01	tenrec.n.01
encoding.n.01	data_encryption.n.01
animal_order.n.01	marginocephalia.n.01
thrush.n.03	nightingale.n.01
ornithomimid.n.01	struthiomimus.n.01
ballet.n.01	comedy_ballet.n.01
synapsid.n.01	ictodosaur.n.01
arthropod.n.01	asian_horseshoe_crab.n.01
beginning.n.05	installation.n.01
medical_care.n.01	holistic_medicine.n.01
hit.n.02	contusion.n.02
travel.n.01	staging.n.03
destruction.n.01	demolition.n.02
finding.n.02	verdict.n.01
arthropod.n.01	garden_centipede.n.01
passerine.n.01	sparrow.n.01
expulsion.n.03	belching.n.01
style.n.09	stylet.n.01
tennis.n.01	royal_tennis.n.01
legal_action.n.01	custody_case.n.01
bird_genus.n.01	pipilo.n.01
drive.n.08	spin.n.03
activity.n.01	preparation.n.01
acquiring.n.01	pickup.n.09
bird_genus.n.01	columba.n.02
restriction.n.03	stipulation.n.03
skate.n.02	grey_skate.n.01
act.n.02	stay.n.01
campaign.n.03	wilderness_campaign.n.01
maltreatment.n.01	persecution.n.01
colubrid_snake.n.01	hoop_snake.n.01
position.n.06	manhood.n.03
creating_from_raw_materials.n.01	construction.n.01
eubacteria.n.01	bacillus.n.01
arthropod_family.n.01	phalangiidae.n.01
measurement.n.01	calorimetry.n.01
beginning.n.05	introduction.n.01
work.n.01	paperwork.n.01
action.n.01	pickings.n.01
work.n.01	subbing.n.01
bird_genus.n.01	agelaius.n.01
leadership.n.01	lead.n.04
snapping_turtle.n.01	common_snapping_turtle.n.01
self-punishment.n.01	self-flagellation.n.01
legal_action.n.01	counterclaim.n.01
worship.n.01	idiolatry.n.01
mistreatment.n.01	harassment.n.02
hawk.n.01	sparrow_hawk.n.02
megapode.n.01	maleo.n.01
position.n.06	rectorship.n.01
martial_art.n.01	karate.n.01
natural_family_planning.n.01	ovulation_method_of_family_planning.n.01
trading.n.01	short_covering.n.01
true_toad.n.01	american_toad.n.01
undertaking.n.01	enterprise.n.01
reel.n.05	eightsome.n.02
takeover_attempt.n.01	proxy_fight.n.01
gecko.n.01	flying_gecko.n.01
flicker.n.02	yellow-shafted_flicker.n.01
commerce.n.01	trade.n.01
reflex.n.01	blink.n.01
marsupial.n.01	pouched_mole.n.01
bird_genus.n.01	dumetella.n.01
bird_family.n.01	thraupidae.n.01
protoctist_genus.n.01	hexamita.n.01
cruelty.n.01	impalement.n.01
woodpecker.n.01	piculet.n.01
activity.n.01	organization.n.06
decrease.n.04	deflation.n.03
pitched_battle.n.01	flodden.n.02
oscine.n.01	starling.n.01
preparation.n.01	warm-up.n.01
black_grouse.n.01	asian_black_grouse.n.01
beginning.n.05	initiation.n.02
operation.n.06	neurosurgery.n.01
success.n.02	conquest.n.02
division.n.03	branching.n.01
chicken.n.02	spring_chicken.n.02
domestic_animal.n.01	head.n.02
decoding.n.01	decompression.n.01
physical_entity.n.01	object.n.01
act.n.02	action.n.01
mammal_genus.n.01	myrmecobius.n.01
gesture.n.01	mudra.n.01
office.n.06	office_of_the_dead.n.01
titanosaur.n.01	genus_argentinosaurus.n.01
execution.n.01	burning.n.05
nuthatch.n.01	white-breasted_nuthatch.n.01
position.n.06	mastership.n.02
restoration.n.02	reclamation.n.01
dove.n.01	turtledove.n.02
expansion.n.01	magnification.n.01
advocacy.n.01	insistence.n.03
hybrid.n.03	dihybrid.n.01
effort.n.02	pull.n.07
amphibian_family.n.01	salamandridae.n.01
look.n.02	lookout.n.04
motion.n.03	vibration.n.01
motion.n.06	crawl.n.01
eye_movement.n.01	saccade.n.01
shortening.n.02	truncation.n.03
play.n.14	flirt.n.02
plant_virus.n.01	potato_yellow-dwarf_virus.n.01
scientific_research.n.01	experiment.n.01
flight.n.02	pass.n.07
treatment.n.01	hydropathy.n.01
siphonophore.n.01	praya.n.01
payment.n.02	refund.n.02
equalization.n.01	reconciliation.n.02
medical_care.n.01	hospice.n.02
vocal_music.n.02	song.n.03
treatment.n.01	chiropractic.n.01
theropod.n.01	maniraptor.n.01
service.n.01	consulting_service.n.01
sexual_intercourse.n.01	hank_panky.n.01
child's_game.n.01	leapfrog.n.02
baptism.n.01	immersion.n.04
measurement.n.01	bathymetry.n.01
starling.n.01	common_starling.n.01
examination.n.01	bank_examination.n.01
effort.n.02	trouble.n.04
organization.n.06	order.n.15
rattlesnake.n.01	timber_rattlesnake.n.01
electronic_countermeasures.n.01	jamming.n.01
child's_game.n.01	tag.n.04
mobilization.n.01	remilitarization.n.01
move.n.05	chess_move.n.01
bird_genus.n.01	pachycephala.n.01
provision.n.02	irrigation.n.01
shuffle.n.01	reshuffle.n.02
sporozoan.n.01	microsporidian.n.01
wetting.n.01	splash.n.06
persecution.n.01	pogrom.n.01
crocodile.n.01	morlett's_crocodile.n.01
serve.n.01	ace.n.06
reflex.n.01	babinski.n.01
maneuver.n.03	stroke.n.01
reptile_family.n.01	lanthanotidae.n.01
exercise.n.01	gymnastic_exercise.n.01
simulation.n.01	war_game.n.01
treatment.n.01	orthoptics.n.01
chordate.n.01	tunicate.n.01
way.n.05	straight_and_narrow.n.01
practice.n.01	mistreatment.n.01
banishment.n.02	exile.n.03
goatsucker.n.01	european_goatsucker.n.01
position.n.06	instructorship.n.01
group_action.n.01	communalism.n.01
reflex.n.01	accommodation_reflex.n.01
parakeet.n.01	ring-necked_parakeet.n.01
object.n.01	whole.n.02
wrestling_hold.n.01	stranglehold.n.02
bird_genus.n.01	stictopelia.n.01
expansion.n.01	inflation.n.04
mistake.n.01	confusion.n.05
skating.n.01	roller_skating.n.01
service.n.15	valet_parking.n.01
analysis.n.01	cost_analysis.n.01
invertebrate.n.01	ctenophore.n.01
trade.n.02	tool-and-die_work.n.01
feeding.n.02	infant_feeding.n.01
transgression.n.01	crime.n.02
group_action.n.01	brainstorming.n.01
causal_agent.n.01	person.n.01
reptile_genus.n.01	genus_utahraptor.n.01
action.n.01	transgression.n.03
placement.n.03	juxtaposition.n.01
journey.n.01	trip.n.01
ablation.n.01	enervation.n.03
calculation.n.01	transposition.n.04
change_of_direction.n.01	reversion.n.04
reptile_genus.n.01	chronoperates.n.01
animal_order.n.01	alcyonaria.n.01
worm_family.n.01	ancylostomatidae.n.01
control.n.05	regulation.n.06
out.n.01	strikeout.n.01
confiscation.n.01	expropriation.n.01
colubrid_snake.n.01	lyre_snake.n.01
domestic_animal.n.01	feeder.n.01
nonaccomplishment.n.01	mistake.n.01
walk.n.01	gait.n.03
procedure.n.01	experimental_procedure.n.01
medical_diagnosis.n.01	differential_diagnosis.n.01
colubrid_snake.n.01	thunder_snake.n.01
reptile_genus.n.01	thamnophis.n.01
fish_genus.n.01	mustelus.n.01
requiem_shark.n.01	soupfin_shark.n.01
logistic_support.n.01	inter-service_support.n.01
position.n.06	thaneship.n.01
tree_toad.n.01	lowland_burrowing_treefrog.n.01
domestic_fowl.n.01	plymouth_rock.n.02
worship.n.01	arborolatry.n.01
sighting.n.01	landfall.n.02
social_control.n.01	duty.n.01
engagement.n.07	commitment.n.03
board_game.n.01	pachisi.n.01
learned_reaction.n.01	conditional_reflex.n.01
social_insurance.n.01	disability_insurance.n.01
revolution.n.02	american_revolution.n.01
stare.n.01	gape.n.02
management.n.01	guidance.n.02
eating.n.01	scatophagy.n.01
submission.n.02	prostration.n.02
archaebacteria.n.01	thermoacidophile.n.01
ceremony.n.03	purification.n.03
bird_genus.n.01	syrrhaptes.n.01
crush.n.04	grind.n.04
appointment.n.01	co-option.n.02
ceremony.n.03	religious_ceremony.n.01
bird.n.01	cuculiform_bird.n.01
rise.n.02	heave.n.03
amphibian_genus.n.01	gastrophryne.n.01
contract.n.03	no-trump.n.01
clasp.n.02	embrace.n.01
banking.n.02	home_banking.n.01
iguanid.n.01	earless_lizard.n.01
computer_game.n.01	virtual_reality.n.01
motion.n.03	eye_movement.n.01
amphibian_genus.n.01	hypopachus.n.01
loft_bombing.n.01	over-the-shoulder_bombing.n.01
crusade.n.02	fourth_crusade.n.01
technology.n.01	chemical_engineering.n.02
trading.n.01	insider_trading.n.01
delay.n.02	tarriance.n.01
travel.n.01	peregrination.n.01
change_of_state.n.01	chew.n.02
cub.n.03	lion_cub.n.01
visit.n.01	visiting.n.01
ballroom_dancing.n.01	carioca.n.03
social_insurance.n.01	supplementary_benefit.n.01
act.n.02	forfeit.n.03
quantitative_analysis.n.01	colorimetry.n.01
control.n.05	crowd_control.n.01
distribution.n.03	deal.n.08
terrorism.n.01	state-sponsored_terrorism.n.01
placement.n.03	fingering.n.01
extracurricular_activity.n.01	athletics.n.03
rescue.n.01	reclamation.n.02
tongueless_frog.n.01	african_clawed_frog.n.01
fight.n.02	rumble.n.03
terrorism.n.01	cyber-terrorism.n.01
secretaryship.n.01	attorney_general.n.03
resistance.n.11	rebellion.n.01
touch.n.05	hit.n.02
tunicate.n.01	salp.n.01
support.n.02	reassurance.n.01
dunk.n.01	slam_dunk.n.02
generation.n.07	biogenesis.n.02
weightlift.n.01	snatch.n.04
routine.n.01	rat_race.n.01
social_dancing.n.01	gavotte.n.01
action.n.01	play.n.17
progress.n.02	leapfrog.n.01
commitment.n.02	consecration.n.01
renewal.n.02	self-renewal.n.01
investigation.n.02	examination.n.05
green_algae.n.01	spirogyra.n.01
pitched_battle.n.01	leuctra.n.01
virus.n.01	arbovirus.n.01
negligence.n.01	dereliction.n.02
bird_family.n.01	pteroclididae.n.01
undertaking.n.01	baby.n.07
gymnastic_exercise.n.01	handstand.n.01
position.n.06	commandership.n.01
first_step.n.01	curtain_raiser.n.01
hunt.n.07	birdnesting.n.01
appearance.n.05	reappearance.n.02
production.n.07	generation.n.06
true_toad.n.01	natterjack.n.01
trade.n.02	auto_mechanics.n.01
conflict.n.01	fight.n.02
gunfire.n.01	enfilade.n.01
bird_genus.n.01	carduelis.n.01
operation.n.06	dilation_and_curettage.n.01
swan.n.01	black_swan.n.01
chemical_analysis.n.01	spectroscopy.n.01
organism.n.01	parasite.n.01
killing.n.02	slaughter.n.01
means.n.01	expedient.n.01
rat_kangaroo.n.01	potoroo.n.01
palpation.n.01	ballottement.n.01
false_scorpion.n.01	book_scorpion.n.01
desensitization_technique.n.01	exposure_therapy.n.01
alga.n.01	green_algae.n.01
animal.n.01	insectivore.n.02
reassembly.n.01	anastylosis.n.01
field_game.n.01	pushball.n.01
reptile_genus.n.01	genus_apatosaurus.n.01
card_game.n.01	monte.n.01
teaching.n.01	schooling.n.01
organism.n.01	haploid.n.01
smooth_dogfish.n.01	american_smooth_dogfish.n.01
validation.n.01	authentication.n.02
worship.n.01	pyrolatry.n.01
reptile_genus.n.01	genus_moloch.n.01
pause.n.02	respite.n.02
bird_genus.n.01	tichodroma.n.01
jumping.n.01	high_jump.n.02
bacteria_family.n.01	actinomycetaceae.n.01
feather.n.01	hackle.n.01
mathematical_process.n.01	combination.n.06
game_of_chance.n.01	roulette.n.03
control.n.05	federalization.n.02
iguanid.n.01	spiny_lizard.n.02
reptile_family.n.01	kinosternidae.n.01
armed_forces_censorship.n.01	primary_censorship.n.01
traffic_control.n.01	point_duty.n.01
game.n.01	card_game.n.01
group_action.n.01	legalization.n.01
practical_joke.n.01	rag.n.05
arbovirus.n.01	bunyaviridae.n.01
mime.n.02	panto.n.01
logistic_support.n.01	integrated_logistic_support.n.01
logistic_support.n.01	interdepartmental_support.n.01
boa.n.02	python.n.01
position.n.06	curatorship.n.01
arthropod_family.n.01	geophilidae.n.01
pitched_battle.n.01	marengo.n.01
strife.n.02	countercurrent.n.02
mining.n.01	strip_mining.n.01
whole.n.02	artifact.n.01
canasta.n.01	bolivia.n.02
stimulation.n.01	galvanization.n.02
new_world_blackbird.n.01	red-winged_blackbird.n.01
roentgenography.n.01	arthrography.n.01
frog.n.01	western_narrow-mouthed_toad.n.01
favor.n.01	turn.n.11
reflex.n.01	electric_shock.n.03
mammal_genus.n.01	caenolestes.n.01
travel.n.01	walk.n.04
arthropod_family.n.01	acaridae.n.01
columbiform_bird.n.01	dodo.n.02
placement.n.03	set.n.07
propulsion.n.02	dribble.n.03
coelenterate.n.01	scyphozoan.n.01
profession.n.02	learned_profession.n.01
protoctist_genus.n.01	genus_trichomonas.n.01
entrance.n.03	incursion.n.01
protoctist_family.n.01	desmidiaceae.n.01
service.n.01	national_service.n.01
outdoor_game.n.01	quoits.n.01
dasyurid_marsupial.n.01	dasyure.n.01
fish_genus.n.01	fistularia.n.01
racing.n.01	boat_racing.n.01
bird_genus.n.01	passerina.n.01
fish_genus.n.01	cetorhinus.n.01
ratite.n.01	moa.n.01
reptile_genus.n.01	dendroaspis.n.01
angiography.n.01	lymphangiography.n.01
bird_genus.n.01	nucifraga.n.01
new_world_sparrow.n.01	song_sparrow.n.01
mite.n.02	itch_mite.n.01
coucal.n.01	pheasant_coucal.n.01
occupation.n.01	sport.n.02
position.n.06	bishopry.n.01
pitched_battle.n.01	magenta.n.02
motion.n.06	migration.n.01
secretaryship.n.01	secretary_of_commerce_and_labor.n.01
newt.n.01	red_eft.n.01
mediation.n.02	matchmaking.n.01
oscine.n.01	pipit.n.01
constructive_fraud.n.01	fraud_in_law.n.01
expiation.n.02	reparation.n.04
squeeze.n.01	extrusion.n.02
withdrawal.n.03	retirement.n.03
investing.n.01	arbitrage.n.01
termination.n.05	deactivation.n.02
clearing.n.02	vindication.n.01
reptile_family.n.01	lacertidae.n.01
therapy.n.01	physical_therapy.n.01
card_game.n.01	go_fish.n.01
reptile_family.n.01	amphisbaenidae.n.01
enteric_bacteria.n.01	salmonella.n.01
animal_order.n.01	gymnophiona.n.01
degradation.n.01	brutalization.n.03
chickadee.n.01	carolina_chickadee.n.01
construction.n.01	crenelation.n.02
pull.n.01	extirpation.n.02
tortoise.n.01	european_tortoise.n.01
water_shrew.n.01	american_water_shrew.n.01
increase.n.05	expansion.n.01
judgment.n.02	justice.n.02
internal_control.n.01	quality_control.n.01
bird_genus.n.01	melanerpes.n.01
homicide.n.01	murder.n.01
pursuit.n.01	shadowing.n.01
mammal_genus.n.01	trichosurus.n.01
expedient.n.01	crutch.n.02
transportation.n.02	teleportation.n.01
renunciation.n.04	abnegation.n.02
blunder.n.01	bobble.n.01
abatement_of_a_nuisance.n.01	asbestos_abatement.n.01
ceratopsian.n.01	psittacosaur.n.01
change.n.03	substitution.n.02
action.n.01	res_gestae.n.02
bird_genus.n.01	otus.n.01
coraciiform_bird.n.01	kingfisher.n.01
release.n.11	exemption.n.03
oscine.n.01	babbler.n.02
naval_battle.n.01	lepanto.n.01
cryptography.n.02	recoding.n.01
compulsion.n.03	eviction.n.01
rescue.n.01	redemption.n.01
communication.n.02	publication.n.03
protoctist_family.n.01	ulvaceae.n.01
infant_feeding.n.01	nursing.n.03
amphibian.n.03	labyrinthodont.n.01
beginning.n.05	icebreaker.n.02
flagellated_cell.n.01	choanocyte.n.01
sporozoan.n.01	coccidium.n.01
fraud.n.03	goldbrick.n.04
coral_snake.n.02	western_coral_snake.n.01
contribution.n.03	subscription.n.03
jamming.n.01	spot_jamming.n.01
descent.n.03	flop.n.04
increase.n.05	advance.n.06
animal_order.n.01	temnospondyli.n.01
position.n.06	lieutenancy.n.01
determination.n.01	rectification.n.04
ablation.n.01	nephrectomy.n.01
election.n.01	general_election.n.01
relinquishment.n.02	release.n.11
dating.n.01	rubidium-strontium_dating.n.01
ctenophore.n.01	platyctenean.n.01
degradation.n.01	profanation.n.02
mycobacteria.n.01	tubercle_bacillus.n.01
phasianid.n.01	quail.n.02
basketball_shot.n.01	tip_in.n.01
bird_genus.n.01	chen.n.01
eye_operation.n.01	laser_trabecular_surgery.n.01
relation.n.01	possession.n.02
country-dance.n.01	longways.n.01
devotion.n.04	novena.n.01
variola_virus.n.01	variola_major.n.02
search.n.01	quest.n.02
haste.n.02	scamper.n.01
measurement.n.01	quantification.n.02
gallinaceous_bird.n.01	curassow.n.01
amphibian_family.n.01	microhylidae.n.01
festival.n.02	kwanzaa.n.01
attainment.n.01	credit.n.06
beginning.n.05	resumption.n.01
departure.n.01	exit.n.03
pitched_battle.n.01	agincourt.n.01
aircraft_landing.n.01	ground-controlled_approach.n.01
expedition.n.01	crusade.n.02
service.n.11	knight's_service.n.01
prevention.n.01	debarment.n.02
mental_measurement.n.01	test.n.02
duck.n.01	mandarin_duck.n.01
judgment.n.03	confession_of_judgment.n.01
aggression.n.03	violence.n.01
kangaroo.n.01	musk_kangaroo.n.01
bacteria_genus.n.01	genus_streptomyces.n.01
animal.n.01	feeder.n.06
reptile_genus.n.01	ophiophagus.n.01
ptarmigan.n.01	red_grouse.n.01
justice.n.02	administration.n.06
occupation.n.01	farming.n.02
transaction.n.01	commerce.n.01
mammal_genus.n.01	cryptotis.n.01
social_dancing.n.01	habanera.n.02
bridge.n.05	contract.n.03
shrew.n.02	water_shrew.n.01
fire.n.02	unobserved_fire.n.01
arthropod.n.01	trilobite.n.01
hair_care.n.01	shampoo.n.02
animal.n.01	poikilotherm.n.01
thrush.n.03	song_thrush.n.01
casting.n.03	overcast.n.04
turn.n.02	kick_turn.n.01
consolidation.n.02	centralization.n.01
iguanid.n.01	common_iguana.n.01
siphonophore.n.01	portuguese_man-of-war.n.01
exercise.n.01	neck_exercise.n.01
protection.n.01	ruggedization.n.01
athletic_game.n.01	ice_hockey.n.01
mite.n.02	spider_mite.n.01
termination.n.05	abolition.n.01
annelid.n.01	leech.n.01
honoring.n.01	punctilio.n.02
celebration.n.02	agon.n.01
bird_family.n.01	dinornithidae.n.01
fire.n.02	barrage.n.02
improvement.n.02	correction.n.01
lesson.n.01	golf_lesson.n.01
social_insurance.n.01	social_security.n.01
emission.n.01	discharge.n.02
procedure.n.01	routine.n.01
ratite.n.01	emu.n.02
bird_family.n.01	columbidae.n.01
performance.n.04	underachievement.n.01
lining.n.03	babbitting.n.01
position.n.09	left_field.n.02
campaigning.n.01	hustings.n.01
work_animal.n.01	beast_of_burden.n.01
activity.n.01	writing.n.05
conflict.n.01	rebellion.n.02
revolution.n.02	english_revolution.n.01
sport.n.01	team_sport.n.01
management.n.01	database_management.n.01
plastic_surgery.n.01	face_lift.n.01
entrance.n.03	intrusion.n.02
performance.n.03	officiation.n.02
archosaur.n.01	dinosaur.n.01
destruction.n.01	decimation.n.01
iguanid.n.01	leopard_lizard.n.01
protest.n.02	demonstration.n.03
position.n.06	fatherhood.n.03
position.n.06	prefecture.n.02
locomotion.n.02	brachiation.n.01
advancement.n.03	work_flow.n.01
waterfowl.n.01	anseriform_bird.n.01
war.n.01	chino-japanese_war.n.01
rail_technology.n.01	magnetic_levitation.n.01
care.n.01	nourishment.n.02
torture.n.05	genital_torture.n.01
philately.n.01	aerophilately.n.01
cut.n.19	pay_cut.n.01
assault.n.01	resisting_arrest.n.01
lizard.n.01	lanthanotus_borneensis.n.01
gait.n.03	pacing.n.02
woodpecker.n.01	wryneck.n.02
extortion.n.03	blackmail.n.01
derision.n.02	mock.n.01
dancing.n.01	break_dancing.n.01
garter_snake.n.01	common_garter_snake.n.01
transgression.n.01	crime.n.01
show.n.01	wild_west_show.n.01
constriction.n.04	vasoconstriction.n.01
peafowl.n.01	blue_peafowl.n.01
indulgence.n.03	overindulgence.n.01
cut.n.17	dissection.n.01
entertainment.n.01	militainment.n.01
scale.n.10	squama.n.01
reaction.n.03	automatism.n.01
organization.n.04	nonprofit_organization.n.01
control.n.05	regulation.n.05
baseball.n.01	two-hitter.n.01
disparagement.n.02	detraction.n.02
practice.n.01	lynch_law.n.01
extension.n.02	spread.n.10
reptile_genus.n.01	gavialis.n.01
trade.n.02	typography.n.01
activity.n.01	provision.n.02
deception.n.02	pretense.n.01
sport.n.01	judo.n.01
animal_order.n.01	casuariiformes.n.01
ballroom_dancing.n.01	tango.n.01
termination.n.05	dismissal.n.04
entrance.n.03	penetration.n.03
punishment.n.01	corporal_punishment.n.01
abstraction.n.06	group.n.01
unlawful_carnal_knowledge.n.01	incest.n.01
judgment.n.03	reversal.n.05
roentgenography.n.01	myelography.n.01
vote.n.02	plebiscite.n.01
animal.n.01	embryo.n.02
conversion.n.09	transmutation.n.01
animal_order.n.01	urodella.n.01
desertion.n.01	absence_without_leave.n.01
attendance.n.01	turnout.n.06
enclosure.n.02	encasement.n.01
rotation.n.01	gyration.n.02
ablation.n.01	mastoidectomy.n.01
bird_genus.n.01	circus.n.06
beginning.n.05	constitution.n.02
ablation.n.01	appendectomy.n.01
backsliding.n.01	recidivism.n.01
thrush.n.03	bluebird.n.02
attack.n.01	strike.n.02
nonattendance.n.01	truancy.n.01
eagle.n.01	tawny_eagle.n.01
bacteria_species.n.01	heliobacter_pylori.n.01
health_care.n.01	medicaid.n.01
turn.n.02	diversion.n.02
soft-shelled_turtle.n.01	smooth_softshell.n.01
bird_genus.n.01	ptloris.n.01
bacteria_genus.n.01	agrobacterium.n.01
goose.n.01	gander.n.01
buyout.n.01	leveraged_buyout.n.01
bird_genus.n.01	furnarius.n.01
career.n.01	lifework.n.01
training.n.01	exercise.n.03
rhizopod.n.01	testacean.n.01
warbler.n.02	lesser_whitethroat.n.01
motion.n.06	lurch.n.04
bird_genus.n.01	turdus.n.01
play.n.14	word_play.n.01
affiliation.n.02	reaffiliation.n.01
contest.n.02	battle_of_wits.n.01
appeasement.n.01	pacification.n.01
attempt.n.01	shot.n.15
endameba.n.01	endamoeba_histolytica.n.01
fraud.n.01	election_fraud.n.01
examination.n.01	endoscopy.n.01
board_game.n.01	checkers.n.01
chess_move.n.01	castle.n.04
resection.n.01	transurethral_resection_of_the_prostate.n.01
therapy.n.01	hormone_replacement_therapy.n.01
trade.n.02	shingling.n.02
collection.n.04	philately.n.01
amphibian_family.n.01	polypedatidae.n.01
change_of_color.n.01	blackening.n.01
allotment.n.02	parcel.n.02
foul.n.01	foul_ball.n.01
reptile_genus.n.01	amblyrhynchus.n.01
contact.n.02	laying_on.n.01
pit_viper.n.01	water_moccasin.n.01
new_world_warbler.n.01	audubon's_warbler.n.01
eubacteria.n.01	clostridium_perfringens.n.01
pitched_battle.n.01	waterloo.n.03
transfer.n.06	alienation.n.03
cleaning.n.01	depilation.n.02
practice.n.04	optometry.n.01
restraint.n.01	immobilization.n.02
bird.n.01	hen.n.02
arbitrage.n.01	risk_arbitrage.n.01
action.n.01	choice.n.02
improvement.n.02	tenderization.n.01
fish_genus.n.01	galeocerdo.n.01
ballroom_dancing.n.01	rumba.n.03
angling.n.01	fly-fishing.n.01
wrongdoing.n.02	perversion.n.03
liberation.n.01	probation.n.03
contraction.n.01	contracture.n.01
mammal_genus.n.01	petaurus.n.01
